"","V1","V2","V3","V4"
"852",2,5,7,5
"853",1,5,6,5
"854",1,1,2,1
"855",3,2,5,4
"856",1,6,7,6
"857",2,10,12,10
"858",1,1,2,1
"859",1,1,2,1
"860",3,4,7,6
"861",2,5,7,6
"862",3,11,14,11
"863",2,3,5,3
"864",1,1,2,1
"865",1,1,2,1
"866",1,1,2,1
"867",4,1,5,4
"868",2,10,12,10
"869",2,3,5,4
"870",2,13,15,13
"871",1,3,4,3
"872",1,5,6,5
"873",6,1,7,6
"874",1,9,10,9
"875",6,1,7,6
"876",1,2,3,2
"877",1,1,2,1
"878",1,1,2,1
"879",4,14,18,15
"880",2,4,6,5
"881",1,2,3,2
"882",1,4,5,4
"883",4,1,5,4
"884",3,5,8,7
"885",2,7,9,8
"886",1,1,2,1
"887",1,11,12,11
"888",1,1,2,1
"889",1,8,9,8
"890",1,1,2,1
"891",1,7,8,7
"892",2,3,5,4
"893",2,5,7,5
"894",1,1,2,1
"895",1,5,6,5
"896",1,6,7,6
"897",1,17,18,17
"898",2,9,11,10
"899",6,1,7,6
"900",3,3,6,3
"901",3,3,6,5
"902",1,8,9,8
"903",1,2,3,2
"904",10,26,36,29
"905",2,13,15,13
"906",1,5,6,5
"907",2,7,9,8
"908",4,4,8,4
"909",2,3,5,4
"910",1,2,3,2
"911",1,14,15,14
"912",1,2,3,2
"913",1,3,4,3
"914",1,2,3,2
"915",1,6,7,6
"916",1,1,2,1
"917",1,6,7,6
"918",1,21,22,21
"919",3,1,4,3
"920",2,2,4,2
"921",2,4,6,5
"922",5,4,9,7
"923",1,3,4,3
"924",1,3,4,3
"925",4,7,11,10
"926",1,4,5,4
"927",1,2,3,2
"928",2,5,7,5
"929",1,1,2,1
"930",1,1,2,1
"931",1,2,3,2
"932",2,2,4,3
"933",1,10,11,10
"934",1,6,7,6
"935",1,10,11,10
"936",1,1,2,1
"937",1,11,12,11
"938",2,4,6,4
"939",2,12,14,12
"940",2,3,5,4
"941",1,21,22,21
